Instruction,Summary,Category,User story
"Definition: In this task, you are given a sentence in the Hindi language and a corresponding English translation of the Hindi sentence. Your task is to generate a label ""Yes"" if the translation is correct, otherwise generate label ""No"". Emphasis & Caution: In the translation, English sentence should preserve the number as it is and it should be in sentence case (capitalize only the first word of each sentence and noun). Things to avoid: -","Given a Hindi sentence and its corresponding English sentence, classify whether it is correct or not.",Text Matching,"As a language verifier, I want to evaluate the accuracy of English translations for given Hindi sentences, By generating a ""Yes"" label if the translation is correct and ""No"" if not, Ensuring that English translations maintain the original numbers and use sentence case capitalization."
"Definition: In this task, you are given a sentence in the English and Hindi language. Your task is check if the Hindi sentence is translation of English. if the translation is correct than generate label ""Yes"", otherwise generate label ""No"". Emphasis & Caution: - Things to avoid: -",Generate answer yes or no for english and hindi translation pair.,Text Matching,"As a bilingual validator, I want to verify if a given Hindi sentence is a correct translation of its corresponding English sentence, So that I can accurately generate a label, either ""Yes"" if the translation is correct or ""No"" if it isn't, By comparing and cross-referencing the meaning and content between both the English and Hindi sentences provided."
"Definition: In this task, you are given a sentence in the English and Japanese language. Your task is check if the Japanese sentence is translation of English. if the translation is correct than generate label ""Yes"", otherwise generate label ""No"". Emphasis & Caution: - Things to avoid: -",Generate answer yes or no for english and japanese translation pair.,Text Matching,"As a bilingual verifier, I want to assess whether a provided Japanese sentence is a correct translation of its corresponding English sentence, So that I can accurately generate a label, either ""Yes"" if the translation is accurate or ""No"" if it's not, By meticulously comparing and confirming the meaning and context between both the English and Japanese sentences given."
"Definition: In this task, you are given a sentence in the Gujarati language and a corresponding English translation of the Gujarati sentence. Your task is to generate a label ""Yes"" if the translation is correct, otherwise generate label ""No"". Emphasis & Caution: - Things to avoid: -","Given a sentence in Gujarati and its corresponding English translation, verify that the translation is correct.",Text Matching,"As a language quality evaluator, I want to verify the accuracy of English translations for Gujarati sentences, so I can ensure high-quality linguistic content, by generating a ""Yes"" label for correct translations and a ""No"" label for incorrect ones."
"Definition: In this task, you are given two sentences in Persian separated with <sep>, and you have to determine whether the sentences are paraphrases or not. Classify your answers into ""paraphrase"" and ""not-paraphrase"". Emphasis & Caution: - Things to avoid: -","Given two sentences, determine whether the sentences are paraphrases or not",Text Matching,"As a language model evaluator, I want to determine if two given Persian sentences are paraphrases of each other, so that I can classify them accurately as either ""paraphrase"" or ""not-paraphrase"", by comparing their meanings while considering the nuances and possible alternative expressions in the Persian language."
"Definition: You will be given a topic and an argument. Your task is to answer whether the topic and the argument are related or not. A related argument should provide more details about the outcomes of the topic. If the argument refers to or suggests a consequence related to that topic, answer with ""yes""; otherwise, answer with ""no"". Emphasis & Caution: - Things to avoid: -","Given a topic and an argument, decide whether the argument refers to a consequence of the topic",Text Matching,"As a Topic-Argument Relater, I want to assess the relationship between a given topic and an argument, so that I can determine if the argument provides relevant outcome details about the topic, by examining if the argument directly refers to or implies a related consequence, answering ""yes"" if they are connected and ""no"" if not."
"Definition: In this task, you get an English sentence and a corresponding Spanish translation of the English sentence. Your task is to return a ""Yes"" if the translation is correct, otherwise return ""No"". Emphasis & Caution: - Things to avoid: -","Given a English sentence and its corresponding Spanish translation, classify whether it is correct or not.",Text Matching,"As a language verifier, I want to evaluate the accuracy of Spanish translations provided for English sentences, So that I can confirm whether the translation is correct, By comparing the given English sentence with its corresponding Spanish translation and returning ""Yes"" if they match or ""No"" if they do not."
"Definition: In this task, you are given two sentences. Your task is to classify the given sentences as ""Yes"" if they have same meaning; otherwise, classify them as ""No"". Emphasis & Caution: - Things to avoid: -","Given two sentences, check if they have the same meaning.",Text Matching,"As a text classifier, I want to identify whether two given sentences have the same meaning, so that I can accurately categorize them as ""Yes"" or ""No""."
"Definition: In this task, You are given an amazon food product review and its summary. Your task is to Generate ""True"" if given review and its summary match, otherwise generate ""False"". Emphasis & Caution: - Things to avoid: -","Given a review of amazon's food product and its summary, you have to classify whether the summary is correct or not.",Text Matching,"As a review verifier, I want to check whether the given Amazon food product review matches its provided summary, so that I can ensure the accuracy of summaries, by comparing the content of the review with the provided summary text."
"Definition: Given an abstract, indicate which of the provided candidate titles (Option1 and Option2) best describes it (respond with the text of the title, not option1/2). Emphasis & Caution: - Things to avoid: -","Given a abstract and question, select the best answer from the given choices.",Text Matching,"As a scholarly article indexer, I want to select the most fitting title from the given options (Option1 and Option2), to accurately represent the content of the abstract, ensuring effective searchability and comprehension for readers."
"Definition: In this task, you're given a text which is the body of a document and a title which is the title of the document. Here the title is present in the document and it is the entity which is referred in the document. The title might have some text in parentheses, for example: ""HMS Mallow (K81)"", or be slightly different from what is present in the text. If they still refer to the same entity, then it is a correct title. Indicate your answer as ""Yes"" if the title is correct, otherwise indicate your answer as ""No"". Emphasis & Caution: - Things to avoid: Do not generate anything else apart from ""Yes"" or ""No""",Verfying if the title of the text is correct(dbpedia_14 dataset),Text Matching,"As a user, I want to determine if the given title accurately represents the main entity mentioned in the document, So that I can confirm the correctness of the document's title, By comparing the title with the information provided in the document body, considering variations or parenthetical elements, and responding with either ""Yes"" or ""No""."
"Definition: Given an English and a French sentence, determine whether both sentences correspond, with 0 meaning divergent and 1 meaning equivalent. Emphasis & Caution: - Things to avoid: -",Classification based on if an english and french sentence are different or equivalent.,Text Matching,"As a Sentence Comparator, I want to evaluate the correspondence between an English and a French sentence, So that I can assign a score where 0 indicates divergence and 1 signifies equivalence."
"Definition: In this task, you are given a sentence in the Bulgarian language and corresponding Greek translation of this sentence. Here, your job is to generate label ""True"" if translation is correct, otherwise generate label ""False"". Emphasis & Caution: - Things to avoid: -",Identify whether translated sentence is Greek or not.,Text Matching,"As an evaluator, I want to verify the accuracy of Bulgarian to Greek translations, so that I can ensure high-quality language services, by examining each given sentence pair and generating a ""True"" label if the translation is correct or ""False"" if it's incorrect."
"Definition: In this task, you are given a sentence in English language and its corresponding French translation. Here, your job is to output ""yes"" if the translation is correct, otherwise output ""no"". Emphasis & Caution: - Things to avoid: -",Classify whether the given English sentence is correctly converted to French sentence,Text Matching,"As a language evaluator, I want to verify the accuracy of English-to-French translations, So that I can ensure quality and correctness for users relying on these translations."
"Definition: In this task, you are given a sentence in Polish language and its corresponding English translation. Here, your job is to output label ""yes"" if the translation is correct, otherwise output ""no"". Emphasis & Caution: - Things to avoid: -",Classify whether the given Polish sentence is correctly converted to English sentence,Text Matching,"As a language learner, I want to verify the accuracy of a given Polish to English translation, So that I can improve my understanding of both languages and ensure reliable translations. By examining the provided Polish sentence and comparing it with the given English translation."
"Definition: In this task, you are given an english sentence and a kurdish sentence you have to determine if they both are faithful translations of each other. Construct an answer that is 'Yes' if the second 'Kurdish' sentence is a translation of 'English' sentence and 'No' otherwise. Emphasis & Caution: - Things to avoid: -",Classifying whether two sentences are translations of each other,Text Matching,"As a translator, I want to determine if a given Kurdish sentence is a faithful translation of an English sentence, So that I can ensure accurate cross-lingual communication. By comparing the meaning and context of both sentences."
"Definition: Given a sentence in the Japanese and Indonesian(Bahasa variant) language. Your task is check if the Bahasa Indonesia sentence is translation of Japanese. if the translation is correct than generate label ""Yes"", otherwise generate label ""No"". Emphasis & Caution: - Things to avoid: -",Generate answer yes or no for Japanese and Bahasa Indonesia translation pair.,Text Matching,"As a verifier, I want to compare Japanese sentences with their Bahasa Indonesia translations, to determine whether the translation is accurate, and generate a label ""Yes"" for correct translations or ""No"" for incorrect ones."
"Definition: Given a sentence in the Japanese and Filipino language. Your task is check if the Filipino sentence is translation of Japanese. if the translation is correct than generate label ""Yes"", otherwise generate label ""No"". Emphasis & Caution: - Things to avoid: -",Generate answer yes or no for Japanese and Filipino translation pair.,Text Matching,"As a verifier, I want to assess the accuracy of Filipino translations against their Japanese source sentences, and generate a label ""Yes"" if the translation is correct, or ""No"" if it's not."
"Definition: Given a sentence in the Japanese and Central Khmer language. Your task is check if the Khamer sentence is translation of Japanese. if the translation is correct than generate label ""Yes"", otherwise generate label ""No"". Emphasis & Caution: - Things to avoid: -",Generate answer yes or no for Japanese and Khmer translation pair.,Text Matching,"As a verifier, I want to verify if Central Khmer sentences are accurate translations of the given Japanese sentences, and generate a label ""Yes"" when correct, or ""No"" if not."
"Definition: Given a sentence in the Japanese and Lao language. Your task is check if the Lao sentence is translation of Japanese. if the translation is correct than generate label ""Yes"", otherwise generate label ""No"". Emphasis & Caution: - Things to avoid: -",Generate answer yes or no for Japanese and Lao translation pair.,Text Matching,"As a verifier, I want to confirm whether Lao sentences are accurate translations of Japanese sentences, generating a label ""Yes"" for correct translations and ""No"" for incorrect ones."
"Definition: Given a sentence in the Japanese and Thai language. Your task is check if the Filipino sentence is translation of Japanese. if the translation is correct than generate label ""Yes"", otherwise generate label ""No"". Emphasis & Caution: - Things to avoid: -",Generate answer yes or no for Japanese and Thai translation pair.,Text Matching,"As a verifier, I want to evaluate whether a Filipino sentence is a correct translation of a given Japanese sentence, So that I can ensure linguistic accuracy and quality control, By generating a label ""Yes"" for accurate translations and ""No"" for inaccurate ones."
"Definition: In this task, you're given a paragraph and title from the research paper. Your task is to classify whether the given title is suitable or not for the research paper based on the given paragraph. Return ""True"" if title is proper according to paragraph else ""False"". Emphasis & Caution: - Things to avoid: -","Given a paragraph from the research paper and the title, your task is to classify whether title belong to paper.",Text Matching,"As a classifier, I want to evaluate the suitability of a given title for a research paper, So that I can ensure accurate representation and comprehension of the paper's content, Based on the provided paragraph."
"Definition: The input contains a debate topic, an argument on the topic and a keypoint, separated by ""<sep>"". Your task is to answer if the keypoint matches the argument and summarizes exactly what the argument means, in the context of the given topic. Emphasis & Caution: - Things to avoid: -","Given a depate topic, an argument on the topic and a keypoint, answer if the keypoint summarizes the argument",Text Matching,"As an analyzer, I want to determine if a given keypoint accurately represents and summarizes an argument, In the context of a provided debate topic separated by ""<sep>""."
"Definition: Here are two questions (Question1 and Question2). If these questions have the same meaning and same answer, answer ""Yes"", otherwise ""No"". Emphasis & Caution: - Things to avoid: -",Given two questions check if these questions have the same meaning.,Text Matching,"As a comparator, I want to identify if two given questions (Question1 and Question2) share the same meaning and have the same answer, So that I can provide a response of either ""Yes"" or ""No""."
"Definition: You are given two sentences(Sentence1 and Sentence2). Answer ""Yes"" if these sentences are a paraphrase of one another, otherwise answer ""No"". Emphasis & Caution: - Things to avoid: -",Given two sentences check if these questions have the same meaning.,Text Matching,"As a detector, I want to analyze whether Sentence1 and Sentence2 convey the same meaning, So that I can respond with ""Yes"" if they are paraphrases or ""No"" if they are not."
"Definition: Evaluate the similarity between them and classify them into classes from 0-5 as follows: 0 : The two sentences are completely dissimilar. 1 : The two sentences are not equivalent, but are on the same topic. 2 : The two sentences are not equivalent, but share some details. 3 : The two sentences are roughly equivalent, but some important information differs/missing. 4 : The two sentences are mostly equivalent, but some unimportant details differ. 5 : The two sentences are completely equivalent, as they mean the same thing. Emphasis & Caution: - Things to avoid: -",Classifying two sentence based on semantic similarity on the scale of 0 - 5.,Text Matching,"As an analyst, I want to evaluate the similarity between pairs of sentences (perform an action) and classify them into a scale of 0-5 based on their equivalence."
"Definition: In this task, you are given a text of news article and corresponding headline of an article. Your task is to give label ""match"" if headline is correct for article, otherwise give label ""no"". Emphasis & Caution: - Things to avoid: -",Given text and headline classify if headline matches text or not,Text Matching,"As a validator, I want to determine if headlines match their corresponding articles, So that accurate information is presented to readers, By analyzing and comparing the content of the news article with its headline."
"Definition: This task is about classifying the similarity of two sentences. The sentences can be classified as (a) SIMILAR - similar to each other, and (b) DISSIMILAR - not similar to each other. Sentences that have the same RDF relationship in terms of [subject, predicate, object] are similar to each other. The input is a list of two sentences and the output is either SIMILAR or DISSIMILAR. Emphasis & Caution: - Things to avoid: -",Classify whether two sentences (from DART) are similar or not based on their relationships,Text Matching,"As a classifier, I want to assess the similarity between pairs of sentences, So that I can categorize them as SIMILAR or DISSIMILAR, Based on whether their underlying RDF relationships ([subject, predicate, object]) match."
"Definition: In this task, you are given a abstract of article and corresponding title of an article. Your task is to generate label ""yes"" if title is right for article, otherwise generate ""no"". Emphasis & Caution: - Things to avoid: -",Classification,Text Matching,"As a verifier, I want to determine if the given title accurately represents the content of an article's abstract, so that readers can quickly understand and assess the relevance of the piece without reading the entire text."
Definition: In this task you are given a medical question pair hand-generated. Your task is to classify a given post into two categories 1) 'Similar' if the given two questions have a same connotation 2) 'Dissimilar' if the given two questions have a different connotation or meaning. Emphasis & Caution: - Things to avoid: -,Classification of Medical Question Pair Dataset in two categories,Text Matching,"As a classifier, I want to classify pairs of hand-generated medical questions into 'Similar' or 'Dissimilar' categories based on whether they have the same connotation or different meanings."
"Definition: In this task, you are given a pair of sentences in English and Spanish. Your job is to determine whether the Spanish sentence is a correct translation of the English sentence. Label it as ""Yes"" if it is correct and ""No"" if it is not. Emphasis & Caution: - Things to avoid: -",Summarize whether the Spanish translation is accurate.,,"As a language verifier, I want to determine whether a given Spanish sentence is a correct translation of its corresponding English sentence, So that I can ensure accurate cross-lingual communication."
"Definition: In this task, you are given two sentences about climate change. Your job is to classify them as ""Similar"" if they express the same core idea, or ""Dissimilar"" if they address different aspects or are unrelated. Emphasis & Caution: - Things to avoid: -",Summarize whether two sentences are semantically similar or dissimilar.,,"As a text classifier, I want to identify whether two given sentences about climate change are similar or dissimilar, So that I can organize discussions effectively."
"Definition: In this task, you are given two medical-related questions. Classify them as ""Similar"" if they address the same underlying medical issue, or ""Dissimilar"" if they are unrelated. Emphasis & Caution: - Things to avoid: -",Summarize whether two medical questions are similar or not.,,"As a medical question classifier, I want to determine whether two given medical-related questions are similar or dissimilar, So that I can better organize and manage medical inquiries."
"Definition: You will be given a pair of sentences in English. Your task is to classify them as ""Paraphrase"" if they convey the same meaning, or ""Not Paraphrase"" if they do not. Emphasis & Caution: Pay attention to synonyms and rephrasings that may not alter meaning. Things to avoid: Do not classify sentences as paraphrases based solely on lexical overlap; prioritize contextual equivalence.",Summarize whether two English sentences are paraphrases.,,"As a paraphrase evaluator, I want to identify whether two given English sentences convey the same meaning, So that I can ensure semantic equivalence, By focusing on synonyms and avoiding over-reliance on lexical overlap."
"Definition: In this task, you are given a topic and an argument. Your job is to classify whether the argument is directly relevant to the topic. Emphasis & Caution: - Things to avoid: -",Summarize whether an argument is relevant to its topic.,,"As a debate analyzer, I want to determine whether a given argument is directly related to its topic, So that I can better organize debate content."
"Definition: In this task, you are given a sentence in English and its corresponding Japanese translation. Your task is to determine if the Japanese sentence is a correct translation. Label it as ""Yes"" if it is correct and ""No"" if it is not. Emphasis & Caution: - Things to avoid: -",Summarize whether the Japanese translation is accurate.,,"As a language evaluator, I want to assess whether a given Japanese sentence accurately translates its corresponding English sentence, So that I can ensure high-quality translations."
"Definition: You are given a review of a product and a short summary of the review. Your task is to classify the summary as ""True"" if it correctly reflects the review, or ""False"" if it does not. Emphasis & Caution: - Things to avoid: -",Summarize whether a product review summary matches its review.,,"As a product review verifier, I want to determine whether a summary accurately reflects its corresponding review, So that I can ensure precise and helpful feedback for users."
"Definition: You will be given a news article and its headline. Your task is to determine whether the headline accurately represents the content of the article. Label it as ""Yes"" if it matches and ""No"" if it does not. Emphasis & Caution: - Things to avoid: -",Summarize whether a headline matches its article.,,"As a content reviewer, I want to determine if a given headline accurately reflects its article, So that I can ensure consistency and correctness in news content."
"Definition: In this task, you are given a pair of English sentences. Your task is to classify them as ""Yes"" if the second sentence is a paraphrase of the first, or ""No"" if it is not. Emphasis & Caution: - Things to avoid: -",Summarize whether two English sentences are paraphrases.,,"As a paraphrase evaluator, I want to determine whether two given English sentences convey the same meaning, So that I can validate their semantic equivalence."
"Definition: In this task, you are given a pair of questions. Classify them as ""Yes"" if they have the same meaning and ""No"" if they do not. Emphasis & Caution: Pay attention to different phrasings that may convey the same intent. Things to avoid: Avoid classifying questions as identical based solely on identical words; focus on semantic equivalence.",Summarize whether two questions have the same meaning.,,"As a question comparator, I want to determine whether two given questions are semantically equivalent, So that I can provide accurate classifications, By analyzing phrasings and avoiding reliance on identical words alone."
"Definition: In this task, you are given two sentences in Arabic. Your job is to classify them as ""Paraphrase"" if they convey the same meaning, or ""Not Paraphrase"" if they do not. Emphasis & Caution: - Things to avoid: -",Summarize whether two Arabic sentences are paraphrases.,,"As a language evaluator, I want to determine whether two given Arabic sentences convey the same meaning, So that I can ensure semantic accuracy in paraphrase detection."
"Definition: In this task, you are given a sentence in English and its corresponding Russian translation. Your task is to classify the translation as ""Yes"" if it is accurate, or ""No"" if it is not. Emphasis & Caution: - Things to avoid: -",Summarize whether the Russian translation is accurate.,,"As a language verifier, I want to assess whether a given Russian sentence accurately translates its corresponding English sentence, So that I can ensure high-quality translations."
"Definition: In this task, you are given a sentence in the Chinese language and its corresponding English translation. Your task is to generate a label ""Yes"" if the translation is correct, otherwise generate ""No"". Emphasis & Caution: - Things to avoid: -",Summarize whether the Chinese translation is accurate.,,"As a language evaluator, I want to verify whether a given English sentence is a correct translation of its corresponding Chinese sentence, So that I can ensure accurate translations for bilingual content."
"Definition: In this task, you are given a paragraph of text and two candidate summaries. Your task is to select the summary that best represents the paragraph. Emphasis & Caution: - Things to avoid: -",Summarize which candidate best represents the paragraph.,,"As a content summarizer, I want to identify the most suitable summary for a given paragraph, So that I can ensure concise and accurate representation of the content."
"Definition: In this task, you are given two questions about technology. Your job is to classify them as ""Similar"" if they address the same aspect of technology, or ""Dissimilar"" if they are unrelated. Emphasis & Caution: - Things to avoid: -",Summarize whether two questions on technology are similar.,,"As a question classifier, I want to determine whether two given questions about technology are similar or dissimilar, So that I can better organize technical queries for efficient handling."
"Definition: You will be given a text and its corresponding title. Your task is to classify the title as ""Match"" if it correctly represents the content of the text, or ""No Match"" if it does not. Emphasis & Caution: - Things to avoid: -",Summarize whether a title matches its text.,,"As a content reviewer, I want to evaluate whether a given title accurately reflects its corresponding text, So that I can ensure consistency and relevance in content presentation."
"Definition: In this task, you are given two descriptions of a product. Your task is to classify them as ""Similar"" if they describe the same product, or ""Dissimilar"" if they do not. Emphasis & Caution: - Things to avoid: -",Summarize whether two product descriptions are similar.,,"As a product description verifier, I want to determine whether two given descriptions refer to the same product, So that I can ensure accurate product information for consumers."
"Definition: In this task, you are given an abstract of a research paper and its title. Your task is to classify whether the title accurately represents the abstract. Emphasis & Caution: Pay attention to specialized terms and ensure the title reflects the main focus of the abstract. Things to avoid: Avoid relying solely on keywords without understanding the context of the abstract.",Summarize whether a title matches its abstract.,,"As a research content verifier, I want to determine whether a given title accurately represents the content of a research abstract, So that I can ensure proper indexing and comprehension, By considering specialized terms and avoiding reliance on keywords alone."
"Definition: In this task, you are given two tweets discussing a specific topic. Your job is to classify them as ""Similar"" if they express the same opinion or information, or ""Dissimilar"" if they do not. Emphasis & Caution: - Things to avoid: -",Summarize whether two tweets are similar.,,"As a social media analyzer, I want to identify whether two given tweets on the same topic are similar or dissimilar, So that I can better understand trends and opinions."
"Definition: In this task, you are given two statements about historical events. Your task is to classify them as ""Paraphrase"" if they describe the same event, or ""Not Paraphrase"" if they do not. Emphasis & Caution: Pay close attention to chronological details and ensure consistency in the description of events. Things to avoid: Avoid classifying statements as paraphrases based solely on shared dates or keywords.",Summarize whether two statements about historical events are paraphrases.,,"As a history content reviewer, I want to determine whether two statements about historical events describe the same event, So that I can ensure accurate representation of historical information, By focusing on chronological details and avoiding reliance on shared dates alone."
"Definition: In this task, you are given a sentence in English and its corresponding Portuguese translation. Your task is to classify the translation as ""Yes"" if it is accurate or ""No"" if it is not. Emphasis & Caution: - Things to avoid: -",Summarize whether the Portuguese translation is accurate.,,"As a language verifier, I want to determine whether a given Portuguese sentence is a correct translation of its corresponding English sentence, So that I can ensure high-quality translations for effective communication."
"Definition: In this task, you are given two sentences about artificial intelligence. Your job is to classify them as ""Similar"" if they discuss the same concept or ""Dissimilar"" if they address different aspects. Emphasis & Caution: - Things to avoid: -",Summarize whether two sentences about artificial intelligence are similar.,,"As a text classifier, I want to evaluate whether two given sentences about artificial intelligence are similar or dissimilar, So that I can enhance the organization and understanding of AI-related content."
"Definition: In this task, you are given a topic and an argument. Your task is to decide if the argument directly supports or relates to the topic. Label it as ""Yes"" if it does and ""No"" if it does not. Emphasis & Caution: - Things to avoid: -",Summarize whether an argument is relevant to its topic.,,"As a debate organizer, I want to determine whether a given argument directly relates to its topic, So that I can streamline and structure debates more effectively."
"Definition: In this task, you are given a pair of English sentences. Your task is to classify them as ""Paraphrase"" if they convey the same meaning or ""Not Paraphrase"" if they do not. Emphasis & Caution: Focus on semantic alignment, even if the phrasing is different. Things to avoid: Avoid relying solely on keyword overlap to determine meaning.",Summarize whether two English sentences are paraphrases.,,"As a paraphrase detector, I want to identify whether two given English sentences convey the same meaning, So that I can ensure semantic equivalence in text processing, By focusing on semantic alignment and avoiding over-reliance on keyword overlap."
"Definition: In this task, you are given a product review and its summary. Your job is to classify the summary as ""True"" if it accurately reflects the review or ""False"" if it does not. Emphasis & Caution: - Things to avoid: -",Summarize whether a product summary matches its review.,,"As a product reviewer, I want to evaluate whether a summary accurately represents its corresponding product review, So that I can provide reliable feedback to customers."
"Definition: In this task, you are given an abstract of a scientific paper and its title. Your job is to classify whether the title accurately represents the abstract. Emphasis & Caution: - Things to avoid: -",Summarize whether a title matches its abstract.,,"As a research abstract evaluator, I want to determine whether a given title accurately represents the content of a scientific abstract, So that I can ensure proper indexing and readability."
"Definition: You are given two comments from a social media platform. Your task is to classify the comments as ""Similar"" if they express the same opinion or idea, or ""Dissimilar"" if they do not. Emphasis & Caution: - Things to avoid: -",Summarize whether two social media comments are similar.,,"As a social media analyst, I want to evaluate whether two given comments express similar opinions, So that I can better understand user sentiments and trends."
"Definition: In this task, you are given a sentence in English and its French translation. Your task is to determine if the translation is correct. Label it as ""Yes"" if it is accurate and ""No"" if it is not. Emphasis & Caution: - Things to avoid: -",Summarize whether the French translation is accurate.,,"As a language evaluator, I want to assess whether a given French sentence is a correct translation of its corresponding English sentence, So that I can ensure accurate bilingual communication."
"Definition: In this task, you are given two questions related to environmental issues. Your job is to classify them as ""Similar"" if they focus on the same topic or ""Dissimilar"" if they do not. Emphasis & Caution: - Things to avoid: -",Summarize whether two questions about environmental issues are similar.,,"As an environmental researcher, I want to determine whether two given questions about environmental issues are similar or dissimilar, So that I can improve the categorization and understanding of environmental data."
"Definition: In this task, you are given two headlines from different articles. Your task is to classify them as ""Similar"" if they discuss the same news story or ""Dissimilar"" if they do not. Emphasis & Caution: - Things to avoid: -",Summarize whether two headlines discuss the same news story.,,"As a news content analyst, I want to evaluate whether two given headlines refer to the same story, So that I can ensure consistency and clarity in news aggregation."
