OriginInstruction,Instruction,Summary,Category,User story
"{""instruction"": ""If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave."", ""context"": """", ""response"": ""Inside a house you can find a chair, a table and a microwave. Cars, clouds and parks are found outside of houses."", ""category"": ""classification""}","Definition: In this task, identify which items from the given list can typically be found inside a house. Review each item and classify it as either inside or outside. Emphasis & Caution: - Things to avoid: -",Identify items typically found inside a house.,Commonsense Classification,"As a data annotator for household items, I want to classify each item by whether it is typically found inside or outside a house, so that I can organize location-based information accurately."
"{""instruction"": ""Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager"", ""context"": """", ""response"": ""Dark-colored beers: porter, stout, amber\nLight-colored beers: pilsner, lager"", ""category"": ""classification""}","Definition: In this task, classify each type of beer as either dark-colored or light-colored. Review each beer type carefully and assign it to the correct color category. Emphasis & Caution: - Things to avoid: -",Classify each beer as dark-colored or light-colored.,Commonsense Classification,"As a beverage data annotator, I want to classify each beer by color category (dark or light), so that I can accurately organize beers by appearance."
"{""instruction"": ""Tell me whether or not these foods are on EWG's dirty dozen list"", ""context"": """", ""response"": ""avocados, kiwi, pairs, blueberries, green beans, kale, cabbage"", ""category"": ""classification""}","Definition: In this task, determine whether each listed food item is part of the Environmental Working Group’s (EWG) Dirty Dozen list. Carefully check each item and classify it as either on the Dirty Dozen list or not. Emphasis & Caution: Verify items based on the most recent EWG Dirty Dozen list, as it may be updated annually. Things to avoid: Do not make assumptions; classify items only if they are explicitly listed by EWG.",Identify which foods are on EWG's Dirty Dozen list.,Commonsense Classification,"As a food safety data annotator, I want to classify foods based on their presence on the EWG Dirty Dozen list, so that I can help users make informed choices about pesticide exposure."
"{""instruction"": ""Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo"", ""context"": """", ""response"": ""Guitar - String\nViolin - String\npiano - keyboard\nharmonium - keyboard\ncello - string\naccordion - keyboard\nbanjo - string"", ""category"": ""classification""}","Definition: In this task, categorize each listed instrument as either a string or keyboard instrument. Review each instrument carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each instrument as either string or keyboard.,Commonsense Classification,"As a music data annotator, I want to classify each instrument as either string or keyboard, so that I can accurately label musical instruments by type."
"{""instruction"": ""What are common ingredients of a full english breakfast?"", ""context"": """", ""response"": ""Bacon, eggs, sausages, beans, toast, mushrooms, tomatoes. Some people also include black pudding and hash browns.\nEggs are commonly fried or scrambled."", ""category"": ""classification""}","Definition: In this task, identify the common ingredients that are typically part of a full English breakfast. List each ingredient that is traditionally included. Emphasis & Caution: - Things to avoid: -",List ingredients commonly found in a full English breakfast.,Commonsense Classification,"As a food content annotator, I want to identify common ingredients in a full English breakfast, so that I can accurately describe traditional breakfast dishes."
"{""instruction"": ""Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly"", ""context"": """", ""response"": ""mammal- tiger, rhinoceros, dog, cat\nbird- heron, kingfisher, eagle\nreptile- snake, alligator, chameleon\ninset- spider, ant, hornet, butterfly"", ""category"": ""classification""}","Definition: In this task, classify each listed creature as either a bird, mammal, reptile, or insect. Review each creature carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -","Classify each creature as a bird, mammal, reptile, or insect.",Commonsense Classification,"As a biology content annotator, I want to classify each creature by type (bird, mammal, reptile, or insect), so that I can accurately categorize animals by biological class."
"{""instruction"": ""Which is a species of fish? Sea dragon or Red bearded"", ""context"": """", ""response"": ""Sea dragon"", ""category"": ""classification""}","Definition: In this task, determine which of the given options is a species of fish. Read the options carefully and select the correct answer. Emphasis & Caution: - Things to avoid: -",Identify which option is a species of fish.,Commonsense Classification,"As a biology content annotator, I want to identify which option is a fish species, so that I can correctly label species by type."
"{""instruction"": ""Categorize where each of these household items belong: bed, couch, desk"", ""context"": """", ""response"": ""A bed belongs in a bedroom, a couch belongs in a living area, a desk belongs in an office"", ""category"": ""classification""}","Definition: In this task, categorize each household item by the room where it is typically found. Review each item and assign it to the appropriate room category. Emphasis & Caution: - Things to avoid: -",Identify the typical room for each household item.,Commonsense Classification,"As an organizer, I want to classify household items by the room they are typically found in, so that I can organize household data accurately by room usage."
"{""instruction"": ""Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba."", ""context"": """", ""response"": ""St Lucia, West End, Toowong, Bulimba and Newstead border the Brisbane River. Wilston, Wooloongabba, Indooroopilly and Bowen Hills are inland and do not border the Brisbane River."", ""category"": ""classification""}","Definition: In this task, classify each listed suburb based on whether it borders the Brisbane River. Review each suburb name and categorize it as either bordering or not bordering the river. Emphasis & Caution: - Things to avoid: -",Classify each suburb as either bordering or not bordering the Brisbane River.,Commonsense Classification,"As a geography annotator, I want to classify suburbs by their proximity to the Brisbane River, so that I can organize location data accurately."
"{""instruction"": ""Identify which instrument is string or woodwind: Janzi, Gemshorn"", ""context"": """", ""response"": ""Gemshorn is woodwind, Janzi is string."", ""category"": ""classification""}","Definition: In this task, determine whether each of the given musical instruments is a string or woodwind instrument. Review the instrument names carefully and assign each to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each instrument as string or woodwind.,Commonsense Classification,"As a music annotator, I want to classify each instrument as string or woodwind, so that I can accurately label musical instruments by type."
"{""instruction"": ""Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air"", ""context"": """", ""response"": ""Isaac Asimov: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun\nJules Verne: Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air"", ""category"": ""classification""}","Definition: In this task, classify each listed title as either written by Isaac Asimov or Jules Verne. Review each title carefully and assign it to the correct author. Emphasis & Caution: - Things to avoid: -",Classify each book title by author: Isaac Asimov or Jules Verne.,Commonsense Classification,"As a literary annotator, I want to classify each title by author (Isaac Asimov or Jules Verne), so that I can organize works accurately by author."
"{""instruction"": ""Choose the word which is different from the rest: hangar, platform, dock, park, bus stand"", ""context"": """", ""response"": ""All except park are places to await for transportation"", ""category"": ""classification""}","Definition: In this task, identify the word that is different from the others in the context provided. Review each word carefully and select the one that does not fit with the rest based on its purpose or usage. Emphasis & Caution: - Things to avoid: -",Identify the word that differs in purpose from the others.,Commonsense Classification,"As an annotator, I want to identify the outlier among a list of words, so that I can highlight distinctions in context or usage."
"{""instruction"": ""Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift"", ""context"": """", ""response"": ""David Guetta: DJ\nAvicii: DJ\nRihanna: Singer\nBeyonce: Singer\nMartin Garrix: DJ\nCalvin Harris: DJ\nTaylor Swift: Singer"", ""category"": ""classification""}","Definition: In this task, identify whether each person listed is a DJ or a singer. Review each name carefully and classify them as either a DJ or a singer. Emphasis & Caution: - Things to avoid: -",Classify each person as either a DJ or a singer.,Commonsense Classification,"As an annotator, I want to classify each person as either a DJ or a singer, so that I can accurately categorize individuals by their professional role in music."
"{""instruction"": ""Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam"", ""context"": """", ""response"": ""Luc huyen cam is string, Den-den daiko is percussion."", ""category"": ""classification""}","Definition: In this task, determine whether each of the given musical instruments is a string or percussion instrument. Review each instrument name carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each instrument as string or percussion.,Commonsense Classification,"As an annotator, I want to classify each instrument as string or percussion, so that I can accurately label musical instruments by type."
"{""instruction"": ""Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop."", ""context"": """", ""response"": ""Notebooks: useful, textbook: useful, desk lamp: not useful, pencil pouch: useful, beach ball: not useful, pillow: not useful, laptop: useful."", ""category"": ""classification""}","Definition: In this task, determine whether each listed item would be useful or not useful for a high school student to carry in their backpack. Review each item carefully and classify it as ""useful"" or ""not useful."" Emphasis & Caution: - Things to avoid: -",Classify each item as useful or not useful for a high school student’s backpack.,Commonsense Classification,"As an annotator, I want to classify each item by its usefulness in a high school student’s backpack, so that I can help identify essential school items."
"{""instruction"": ""Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human."", ""context"": """", ""response"": ""Newt and frog are amphibians. The rest of the animals are mammals. You did not provide any fish in your question."", ""category"": ""classification""}","Definition: In this task, classify each listed animal as either a mammal, amphibian, or fish. Review each animal carefully and assign it to the appropriate category. Emphasis & Caution: - Things to avoid: -","Classify each animal as a mammal, amphibian, or fish.",Commonsense Classification,"As an annotator, I want to classify each animal by its biological class (mammal, amphibian, or fish), so that I can accurately organize animals by type."
"{""instruction"": ""Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16."", ""context"": """", ""response"": ""'prime', 'prime', 'composite', 'prime', 'composite', 'prime', 'composite', 'composite', 'composite', 'prime', 'composite', 'prime', 'composite', 'composite', 'composite'."", ""category"": ""classification""}","Definition: In this task, classify each given number as either ""prime"" or ""composite."" Review each number carefully and assign it to the appropriate category. Emphasis & Caution: Remember that prime numbers have exactly two distinct positive divisors (1 and the number itself), while composite numbers have more than two divisors. Things to avoid: Do not classify 1, as it is neither prime nor composite.",Classify each number as prime or composite.,Commonsense Classification,"As an annotator, I want to classify each number as prime or composite, so that I can accurately organize numbers by type."
"{""instruction"": ""Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys."", ""context"": """", ""response"": ""Three musketeers, Twix, and snickers are candy bars, and trident, hubba bubba, and wrigleys are gum."", ""category"": ""classification""}","Definition: In this task, classify each listed item as either a candy bar or gum. Review each item carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each item as either a candy bar or gum.,Commonsense Classification,"As an annotator, I want to classify each item as a candy bar or gum, so that I can accurately categorize confectionery products by type."
"{""instruction"": ""Classify the below characters based on whether they are created by Marvel comics or D.C. comics\n Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman"", ""context"": """", ""response"": ""DC- Superman, Batman, Wonder Woman, Flash, Aquaman\nMarvel- Spider-Man, Iron Man, Captain America, Thor, Doctor Strange"", ""category"": ""classification""}","Definition: In this task, classify each listed character based on whether they were created by Marvel Comics or DC Comics. Review each character carefully and assign them to the correct publisher. Emphasis & Caution: - Things to avoid: -",Classify each character as either Marvel or DC.,Commonsense Classification,"As an annotator, I want to classify each character by their publisher (Marvel or DC), so that I can accurately categorize comic book characters."
"{""instruction"": ""Which is a bird or fish: Red-throated diver, Redlip blenny"", ""context"": """", ""response"": ""Redlip blenny is a fish, Red-throated diver is a bird"", ""category"": ""classification""}","Definition: In this task, determine whether each of the listed species is a bird or a fish. Review each species carefully and classify it as either ""bird"" or ""fish."" Emphasis & Caution: - Things to avoid: -",Classify each species as either a bird or fish.,Commonsense Classification,"As an annotator, I want to classify each species as either a bird or fish, so that I can accurately label animal types."
"{""instruction"": ""As an expert skier, what are the top resorts in the US to go skiing?"", ""context"": """", ""response"": ""There are many ski resorts in the United States that offer challenging terrain for expert level skiers.  Som of the top resorts are: Big Sky, Jackson Hole, Pallisades, Crested Butte, Telluride, and Silverthorn"", ""category"": ""classification""}","Definition: In this task, identify and list the top U.S. ski resorts known for challenging terrain suitable for expert skiers. Emphasis & Caution: Focus on resorts with advanced trails and features that cater specifically to high-level skiing skills. Things to avoid: Avoid including beginner-friendly or primarily intermediate-level resorts.",List top U.S. ski resorts for expert skiers.,Commonsense Classification,"As a skiing enthusiast, I want to identify the best U.S. resorts for expert-level skiing, so that I can find locations with challenging terrain."
"{""instruction"": ""Which characters belong to DC or Marvel Universe? Hulk, Spectre"", ""context"": """", ""response"": ""Spectre is DC, Hulk is Marvel"", ""category"": ""classification""}","Definition: In this task, determine whether each listed character belongs to the DC or Marvel Universe. Review each character carefully and assign them to the correct universe. Emphasis & Caution: - Things to avoid: -",Classify each character as part of the DC or Marvel Universe.,Commonsense Classification,"As an annotator, I want to classify each character by their universe (DC or Marvel), so that I can accurately categorize comic book characters."
"{""instruction"": ""Which is a species of fish? Mola mola or Molar"", ""context"": """", ""response"": ""Mola mola"", ""category"": ""classification""}","Definition: In this task, determine which of the given options is a species of fish. Review the options carefully and select the correct answer. Emphasis & Caution: - Things to avoid: -",Identify which option is a species of fish.,Commonsense Classification,"As an annotator, I want to identify which option is a fish species, so that I can accurately classify biological species."
"{""instruction"": ""Which of the following are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard."", ""context"": """", ""response"": ""The colors are: red, black, yellow, orange, white, pink and blue."", ""category"": ""classification""}","Definition: In this task, identify which of the listed items are colors. Review each word carefully and classify it as either a color or not. Emphasis & Caution: - Things to avoid: -",Identify items that are colors.,Commonsense Classification,"As an annotator, I want to classify each item as a color or not, so that I can accurately identify color names."
"{""instruction"": ""Which sports would be easiest to find success in if you’re not tall: baseball, soccer, basketball, bowling."", ""context"": """", ""response"": ""Soccer and bowling would be the two easiest sports in this list to succeed in if you’re not tall."", ""category"": ""classification""}","Definition: In this task, identify which of the listed sports would be easiest to find success in for individuals who are not tall. Review each sport and classify it based on whether height is a significant advantage. Emphasis & Caution: Consider the typical physical advantages needed in each sport. Things to avoid: -",Identify sports where height is less crucial for success.,Commonsense Classification,"As an annotator, I want to classify each sport by whether height is a key advantage, so that I can help categorize sports based on physical requirements."
"{""instruction"": ""Classify each as either a vodka drink or a gin drink: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni"", ""context"": """", ""response"": ""Screwdrivers, Bloody Mary's, White Russians, and Cosmopolitans are traditionally vodka cocktails, whereas French 75's, Gimlets, Tom Collins', and Negronis are traditionally gin cocktails."", ""category"": ""classification""}","Definition: In this task, classify each listed cocktail as either a vodka-based or gin-based drink. Review each drink name carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each cocktail as either vodka-based or gin-based.,Commonsense Classification,"As an annotator, I want to classify each cocktail by its primary spirit (vodka or gin), so that I can accurately organize drinks by their base ingredient."
"{""instruction"": ""Categorize the following Taylor Swift songs based on what album they are in: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer"", ""context"": """", ""response"": ""The following songs are in Taylor Swift's album Lover: The Archer, Lover, Cruel Summer.\nThe following song is in the album Fearless (Taylor's Version): Love Story (Taylor's Version)\nThe following songs are in the album evermore: tolerate it, willow\nThe following songs are in the album Reputation: Don't Blame Me, Look What You Made Me Do\nThe following song is in the album Red (Taylor's Version): 22 (Taylor's version) \nThe following songs are in the album Midnights: Bejeweled, Lavender Haze"", ""category"": ""classification""}","Definition: In this task, categorize each listed Taylor Swift song by identifying the album it belongs to. Review each song title carefully and assign it to the correct album. Emphasis & Caution: Pay attention to songs with ""(Taylor's Version)"" in the title, as they may belong to re-recorded albums. Things to avoid: -",Classify each song by the Taylor Swift album it belongs to.,Commonsense Classification,"As an annotator, I want to classify each song by its album, so that I can accurately organize Taylor Swift’s music by album."
"{""instruction"": ""I'm creating a class to explain to kids the difference between items that are powered and can be plugged in and items that aren't. Please divide the following things into those you can plug in and those that you can't: table, hairdryer, television, chair, computer, fridge, comb, flowers."", ""context"": """", ""response"": ""A hairdryer, television, computer and fridge are all examples of things that can be plugged in and powered by electricity. A common table, chair, comb and flower are examples of items that do not require electricity and cannot be plugged in."", ""category"": ""classification""}","Definition: In this task, classify each item based on whether it can be plugged in and powered by electricity or not. Review each item carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each item as either powered and plug-in or not.,Commonsense Classification,"As an annotator, I want to classify each item by whether it can be plugged in, so that I can clearly show children the difference between powered and non-powered items."
"{""instruction"": ""Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City"", ""context"": """", ""response"": ""Australia is a country as well as a continent.\nMexico is a country.\nMexico City is a city.\nAntarctica is a continent.\nSingapore is a country as well as a city.\nIndia is a country.\nGulf is neither.\nBeijing is a city.\nJakarta is a city.\nLuxembourg is a country as well as a city.\nVatican City is a country as well as a city."", ""category"": ""classification""}","Definition: In this task, classify each listed name as either a country, city, continent, or neither. Review each name carefully and assign it to the correct category. Emphasis & Caution: Pay attention to cases where a place may be both a country and a city. Things to avoid: -","Classify each item as a country, city, continent, or neither.",Commonsense Classification,"As an annotator, I want to classify each place by type (country, city, continent, or neither), so that I can organize geographical information accurately."
"{""instruction"": ""Identify which instrument is string or woodwind: Wheelharp, Clarinet"", ""context"": """", ""response"": ""Wheelharp is string, Clarinet is woodwind."", ""category"": ""classification""}","Definition: In this task, determine whether each listed instrument is a string or woodwind instrument. Review each instrument carefully and classify it as either ""string"" or ""woodwind."" Emphasis & Caution: -Things to avoid: -",Classify each instrument as either string or woodwind.,Commonsense Classification,"As an annotator, I want to classify each instrument as string or woodwind, so that I can accurately label musical instruments by type."
"{""instruction"": ""Tell me whether these cities are in Texas: Austin, Houston, New York, Chicago, Miami, Dallas"", ""context"": """", ""response"": ""Austin, Houston, Dallas"", ""category"": ""classification""}","Definition: In this task, determine whether each listed city is located in Texas. Review each city name carefully and classify it as either ""in Texas"" or ""not in Texas."" Emphasis & Caution: - Things to avoid: -",Identify which cities are in Texas.,Commonsense Classification,"As an annotator, I want to classify each city by whether it is located in Texas, so that I can accurately categorize cities by state."
"{""instruction"": ""Tell me whether you drive on the right or left side of the road in these countries: USA, Mexico, Spain, England, New Zealand, Japan"", ""context"": """", ""response"": ""USA: Right Side\nMexico: Right Side\nSpain: Right Side\nEngland: Left Side\nNew Zealand: Left Side\nJapan: Left Side"", ""category"": ""classification""}","Definition: In this task, determine whether driving is on the right or left side of the road in each listed country. Review each country carefully and classify the driving side as either ""right"" or ""left."" Emphasis & Caution: - Things to avoid: -",Identify the driving side for each country.,Commonsense Classification,"As a travel guide editor, I want to classify each country by its driving side (right or left), so that I can provide accurate information on international driving practices."
"{""instruction"": ""Identify which car manufacturer is German or American: Opel, GMC"", ""context"": """", ""response"": ""Opel is German, GMC is American"", ""category"": ""classification""}","Definition: In this task, determine whether each listed car manufacturer is German or American. Review each manufacturer carefully and assign it to the correct country of origin. Emphasis & Caution: - Things to avoid: -",Classify each car manufacturer as either German or American.,Commonsense Classification,"As a researcher, I want to classify each car manufacturer by its origin (German or American) to organize automotive brands by nationality."
"{""instruction"": ""Classify the following types of cars as \""economy\"" or \""luxury\"": Ford, Chevrolet, Lamborghini, Ferrari, Mercedes, Honda, Lexus, Toyota, Nissan, Subaru"", ""context"": """", ""response"": ""Ford, Chevrolet, Honda, Toyota, and Subaru are high-quality car brands, but are generally not considered to be \""luxury\"" brands. Lamborghini, Ferrari, Mercedes, and Lexus are luxury brands."", ""category"": ""classification""}","Definition: In this task, classify each listed car brand as either ""economy"" or ""luxury."" Review each brand carefully and assign it to the appropriate category. Emphasis & Caution: - Things to avoid: -",Classify each car brand as economy or luxury.,Commonsense Classification,"As a researcher, I want to classify each car brand as either economy or luxury to organize automotive brands by market segment."
"{""instruction"": ""Which is a bird or fish: Blackchin, Black redstart"", ""context"": """", ""response"": ""Blackchin is a fish, Black redstart is a bird"", ""category"": ""classification""}","Definition: In this task, determine whether each listed species is a bird or a fish. Review each species carefully and classify it as either ""bird"" or ""fish."" Emphasis & Caution: - Things to avoid: -",Classify each species as either a bird or fish.,Commonsense Classification,"As a researcher, I want to classify each species as either a bird or fish to accurately organize information about animal types."
"{""instruction"": ""Classify the following water bodies into oceans, seas, rivers and lakes- aral, pacific, baikal, superior, amazon, colorado, indian, arabian, north, baltic, okhotosk, tahoe, victoria, lena, danube, arctic, mekong"", ""context"": """", ""response"": ""oceans- pacific, indian, arctic\nseas- okhotosk, aral, arabian, north, baltic\nrivers- amazon, colorado, lena, danube, mekong\nlakes- superior, tahoe, victoria , baikal"", ""category"": ""classification""}","Definition: In this task, classify each listed water body as either an ocean, sea, river, or lake. Review each name carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -","Classify each water body as an ocean, sea, river, or lake.",Commonsense Classification,"As a researcher, I want to classify each water body by type (ocean, sea, river, or lake) to organize geographic information accurately."
"{""instruction"": ""Which of the following are ice cream toppings and which are salad dressings: thousand island, chocolate sauce, hot fudge, balsamic vinaigrette, whipped cream, and Caesar."", ""context"": """", ""response"": ""The ice cream toppings are chocolate sauce, hot fudge, and whipped cream. The salad dressings are thousand island, balsamic vinaigrette, and Caesar."", ""category"": ""classification""}","Definition: In this task, classify each listed item as either an ice cream topping or a salad dressing. Review each item carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each item as an ice cream topping or salad dressing.,Commonsense Classification,"As a food cataloger, I want to classify each item as either an ice cream topping or a salad dressing to organize ingredients by usage type."
"{""instruction"": ""Which of these are car brands: Ferrari, Fiat, Batavus, Philips, Renault, BMW, IKEA and MG"", ""context"": """", ""response"": ""Fiat, Ferrari, Renault, BMW and MG are car brands."", ""category"": ""classification""}","Definition: In this task, determine which of the listed items are car brands. Review each name carefully and classify it as either a car brand or not. Emphasis & Caution: - Things to avoid: -",Identify which items are car brands.,Commonsense Classification,"As a researcher, I want to classify each item as a car brand or not, to accurately organize brand information by industry."
"{""instruction"": ""Tell me whether each of these are animals or not: Alligator, Grass, Tree, Boat, Dolphin, Shark, Fish, Fence, Dog, Car"", ""context"": """", ""response"": ""Alligator: Animal\nGrass: Not an Animal\nTree: Not an Animal\nBoat: Not an Animal\nDolphin: Animal\nShark: Animal\nFish: Animal\nFence: Not an Animal\nDog: Animal\nCar: Not an Animal"", ""category"": ""classification""}","Definition: In this task, determine whether each listed item is an animal or not. Review each item carefully and classify it as either ""animal"" or ""not an animal."" Emphasis & Caution: - Things to avoid: -",Classify each item as either an animal or not.,Commonsense Classification,"As a researcher, I want to classify each item as an animal or not, to organize information based on living and non-living entities."
"{""instruction"": ""Categorize these movies that came out in 1999 as cartoons or live-action: The Matrix, Stuart Little, Cruel Intentions, The Iron Giant, The Blair Witch Project, South Park: Bigger, Longer, and Uncut, The Sixth Sense"", ""context"": """", ""response"": ""Cartoons: Stuart Little, The Iron Giant, South Park: Bigger, Longer, and Uncut\nLive action: The Matrix, Cruel Intentions, The Blair Witch Project, The Sixth Sense"", ""category"": ""classification""}","Definition: In this task, categorize each listed 1999 movie as either a cartoon or live-action film. Review each movie title carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each movie as either a cartoon or live-action.,Commonsense Classification,"As a film cataloger, I want to classify each movie as either a cartoon or live-action, to organize films by format."
